Lecture_ID,Lecture_Link,Attendance_Type,Password
BK,https://e-ling.smkn1karawang.sch.id/mod/attendance/view.php?id=6298,2,""
PWB,https://e-ling.smkn1karawang.sch.id/mod/attendance/view.php?id=10373,2,""
PAI,https://e-ling.smkn1karawang.sch.id/mod/attendance/view.php?id=10551,2,""
PKN,https://e-ling.smkn1karawang.sch.id/mod/attendance/view.php?id=2466,2,""
IND,https://e-ling.smkn1karawang.sch.id/mod/attendance/view.php?id=8333,2,""
MTK,https://e-ling.smkn1karawang.sch.id/mod/attendance/view.php?id=10355,2,""
ING,https://e-ling.smkn1karawang.sch.id/mod/attendance/view.php?id=10369,2,""
PBO,https://e-ling.smkn1karawang.sch.id/mod/attendance/view.php?id=8245,2,""
JRM,https://e-ling.smkn1karawang.sch.id/mod/attendance/view.php?id=10773,2,""
PKK,https://e-ling.smkn1karawang.sch.id/mod/attendance/view.php?id=10511,2,""
